ad_id,reporting_start,reporting_end,age,gender,interest1,interest2,interest3,Impressions,Clicks,Spend,total_conversion,approved_conversion,,Revenue,CTR,CPC,ROI
708746,17-08-2017,17-08-2017,30-34,M,15,17,17,7350.00,1.00,? 1.43,2,1,,100,0.01%,? 1.43,6893.01%
708749,17-08-2017,17-08-2017,30-34,M,16,19,21,17861.00,2.00,? 1.82,2,0,,0,0.01%,? 0.91,-100.00%
708771,17-08-2017,17-08-2017,30-34,M,20,25,22,693.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
708815,30-08-2017,30-08-2017,30-34,M,28,32,32,4259.00,1.00,? 1.25,1,0,,0,0.02%,? 1.25,-100.00%
708818,17-08-2017,17-08-2017,30-34,M,28,33,32,4133.00,1.00,? 1.29,1,1,,100,0.02%,? 1.29,7651.94%
708820,17-08-2017,17-08-2017,30-34,M,29,30,30,1915.00,0.00,? 0.00,1,1,,100,0.00%,? 0.00,0.00%
708889,17-08-2017,17-08-2017,30-34,M,15,16,17,15615.00,3.00,? 4.77,1,0,,0,0.02%,? 1.59,-100.00%
708895,17-08-2017,17-08-2017,30-34,M,16,20,18,10951.00,1.00,? 1.27,1,1,,100,0.01%,? 1.27,7774.02%
708953,17-08-2017,17-08-2017,30-34,M,27,31,31,2355.00,1.00,? 1.50,1,0,,0,0.04%,? 1.50,-100.00%
708958,30-08-2017,30-08-2017,30-34,M,28,32,31,9502.00,3.00,? 3.16,1,0,,0,0.03%,? 1.05,-100.00%
708979,30-08-2017,30-08-2017,30-34,M,31,37,34,1224.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
709023,29-08-2017,29-08-2017,30-34,M,7,8,8,735.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
709038,29-08-2017,29-08-2017,30-34,M,16,20,22,5117.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
709040,29-08-2017,29-08-2017,30-34,M,16,19,21,5120.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
709059,30-08-2017,30-08-2017,30-34,M,20,26,23,14669.00,7.00,? 10.28,1,1,,100,0.05%,? 1.47,872.76%
709105,30-08-2017,30-08-2017,30-34,M,28,30,32,1241.00,0.00,? 0.00,1,1,,100,0.00%,? 0.00,0.00%
709115,30-08-2017,30-08-2017,30-34,M,30,34,31,2305.00,1.00,? 0.57,1,0,,0,0.04%,? 0.57,-100.00%
709124,30-08-2017,30-08-2017,30-34,M,31,34,33,1024.00,0.00,? 0.00,1,1,,100,0.00%,? 0.00,0.00%
709179,30-08-2017,30-08-2017,35-39,M,15,16,17,4627.00,1.00,? 1.69,1,0,,0,0.02%,? 1.69,-100.00%
709183,30-08-2017,30-08-2017,35-39,M,16,20,22,21026.00,4.00,? 4.63,2,1,,100,0.02%,? 1.16,2059.83%
709320,17-08-2017,17-08-2017,35-39,M,15,21,20,1422.00,0.00,? 0.00,1,1,,100,0.00%,? 0.00,0.00%
709323,17-08-2017,17-08-2017,35-39,M,15,17,19,7132.00,2.00,? 2.61,1,0,,0,0.03%,? 1.30,-100.00%
709326,18-08-2017,18-08-2017,35-39,M,16,22,22,12190.00,2.00,? 3.05,1,0,,0,0.02%,? 1.52,-100.00%
709327,18-08-2017,18-08-2017,35-39,M,16,22,20,12193.00,2.00,? 3.06,1,1,,100,0.02%,? 1.53,3167.97%
709328,18-08-2017,18-08-2017,35-39,M,16,19,18,3332.00,0.00,? 0.00,1,1,,100,0.00%,? 0.00,0.00%
709455,18-08-2017,18-08-2017,35-39,M,7,12,10,559.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
709544,18-08-2017,18-08-2017,35-39,M,29,33,32,7440.00,2.00,? 2.98,1,1,,100,0.03%,? 1.49,3255.70%
709614,19-08-2017,19-08-2017,40-44,M,16,19,20,19113.00,4.00,? 5.52,1,0,,0,0.02%,? 1.38,-100.00%
709756,19-08-2017,19-08-2017,40-44,M,16,21,21,10976.00,2.00,? 1.69,1,1,,100,0.02%,? 0.85,5817.16%
709761,18-08-2017,18-08-2017,40-44,M,16,19,20,2861.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
709899,18-08-2017,18-08-2017,40-44,M,15,18,20,1398.00,0.00,? 0.00,1,1,,100,0.00%,? 0.00,0.00%
709901,18-08-2017,18-08-2017,40-44,M,16,18,20,23817.00,7.00,? 8.47,1,1,,100,0.03%,? 1.21,1080.64%
710045,17-08-2017,17-08-2017,45-49,M,16,22,17,47224.00,12.00,? 15.82,1,0,,0,0.03%,? 1.32,-100.00%
710088,17-08-2017,17-08-2017,45-49,M,24,26,27,2283.00,1.00,? 1.47,1,0,,0,0.04%,? 1.47,-100.00%
710360,17-08-2017,17-08-2017,45-49,M,21,26,24,2182.00,1.00,? 1.53,1,1,,100,0.05%,? 1.53,6435.95%
710477,17-08-2017,17-08-2017,30-34,F,16,19,19,2654.00,0.00,? 0.00,1,1,,100,0.00%,? 0.00,0.00%
710480,17-08-2017,17-08-2017,30-34,F,16,21,20,57665.00,14.00,? 18.07,1,1,,100,0.02%,? 1.29,453.40%
710571,18-08-2017,18-08-2017,30-34,F,32,37,38,3091.00,1.00,? 1.61,1,1,,100,0.03%,? 1.61,6111.18%
710617,18-08-2017,18-08-2017,30-34,F,15,19,16,5014.00,1.00,? 1.19,1,0,,0,0.02%,? 1.19,-100.00%
710623,18-08-2017,18-08-2017,30-34,F,16,19,20,38726.00,7.00,? 9.22,1,0,,0,0.02%,? 1.32,-100.00%
710628,17-08-2017,17-08-2017,30-34,F,18,24,22,1473.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
710682,29-08-2017,29-08-2017,30-34,F,27,33,32,1186.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
710763,29-08-2017,29-08-2017,30-34,F,15,19,17,5369.00,1.00,? 1.51,1,0,,0,0.02%,? 1.51,-100.00%
710836,27-08-2017,27-08-2017,30-34,F,29,33,31,22221.00,7.00,? 9.43,1,1,,100,0.03%,? 1.35,960.45%
710867,26-08-2017,26-08-2017,30-34,F,63,64,68,1185.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
710880,26-08-2017,26-08-2017,30-34,F,65,70,68,13019.00,5.00,? 6.96,1,0,,0,0.04%,? 1.39,-100.00%
710961,27-08-2017,27-08-2017,35-39,F,25,29,26,2508.00,1.00,? 1.22,1,0,,0,0.04%,? 1.22,-100.00%
710968,27-08-2017,27-08-2017,35-39,F,27,31,29,5864.00,2.00,? 2.80,1,1,,100,0.03%,? 1.40,3471.43%
711217,27-08-2017,27-08-2017,35-39,F,20,26,23,2783.00,1.00,? 1.60,1,0,,0,0.04%,? 1.60,-100.00%
711623,27-08-2017,27-08-2017,40-44,F,15,18,20,3812.00,1.00,? 1.13,2,1,,100,0.03%,? 1.13,8749.56%
711764,27-08-2017,27-08-2017,45-49,F,10,16,11,11199.00,4.00,? 5.73,1,1,,100,0.04%,? 1.43,1645.20%
711785,26-08-2017,26-08-2017,45-49,F,19,25,23,292.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
711877,26-08-2017,26-08-2017,45-49,F,63,67,65,17572.00,7.00,? 9.38,1,0,,0,0.04%,? 1.34,-100.00%
712052,25-08-2017,25-08-2017,45-49,F,10,13,11,1448.00,0.00,? 0.00,1,1,,100,0.00%,? 0.00,0.00%
734209,25-08-2017,25-08-2017,30-34,M,10,16,14,1772.00,0.00,? 0.00,1,1,,100,0.00%,? 0.00,0.00%
734210,25-08-2017,25-08-2017,30-34,M,10,16,13,13329.00,4.00,? 5.63,1,1,,100,0.03%,? 1.41,1676.20%
734215,26-08-2017,26-08-2017,30-34,M,15,19,17,13659.00,3.00,? 3.84,1,0,,0,0.02%,? 1.28,-100.00%
734243,26-08-2017,26-08-2017,30-34,M,21,23,24,739.00,0.00,? 0.00,1,1,,100,0.00%,? 0.00,0.00%
734266,26-08-2017,26-08-2017,30-34,M,25,30,27,605.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
734272,26-08-2017,26-08-2017,30-34,M,26,32,29,1030.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
734290,26-08-2017,26-08-2017,30-34,M,29,32,35,5374.00,1.00,? 1.04,4,0,,0,0.02%,? 1.04,-100.00%
734313,26-08-2017,26-08-2017,30-34,M,36,38,38,790.00,0.00,? 0.00,1,1,,100,0.00%,? 0.00,0.00%
734314,27-08-2017,27-08-2017,30-34,M,36,38,38,962.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
734352,27-08-2017,27-08-2017,35-39,M,10,11,16,4423.00,1.00,? 1.46,1,1,,100,0.02%,? 1.46,6749.31%
734361,29-08-2017,29-08-2017,35-39,M,16,19,19,12382.00,2.00,? 2.84,1,1,,100,0.02%,? 1.42,3421.13%
734381,29-08-2017,29-08-2017,35-39,M,20,25,24,2938.00,1.00,? 1.35,1,1,,100,0.03%,? 1.35,7307.41%
734399,28-08-2017,28-08-2017,35-39,M,23,24,27,239.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
734418,29-08-2017,29-08-2017,35-39,M,26,27,28,591.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
734421,29-08-2017,29-08-2017,35-39,M,27,29,32,10332.00,4.00,? 5.75,1,0,,0,0.04%,? 1.44,-100.00%
734427,29-08-2017,29-08-2017,35-39,M,28,29,31,8259.00,3.00,? 3.98,1,0,,0,0.04%,? 1.33,-100.00%
734433,29-08-2017,29-08-2017,35-39,M,29,35,31,12158.00,3.00,? 4.45,1,0,,0,0.02%,? 1.48,-100.00%
734582,29-08-2017,29-08-2017,40-44,M,29,33,33,7709.00,2.00,? 1.32,2,0,,0,0.03%,? 0.66,-100.00%
734605,28-08-2017,28-08-2017,40-44,M,36,37,41,834.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
734660,28-08-2017,28-08-2017,45-49,M,18,22,23,1299.00,0.00,? 0.00,2,0,,0,0.00%,? 0.00,0.00%
734666,28-08-2017,28-08-2017,45-49,M,19,24,20,371.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
734726,28-08-2017,28-08-2017,45-49,M,29,30,35,10466.00,3.00,? 4.09,1,0,,0,0.03%,? 1.36,-100.00%
734737,27-08-2017,27-08-2017,45-49,M,31,37,33,839.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
734785,28-08-2017,28-08-2017,30-34,F,10,13,13,5576.00,1.00,? 1.53,1,1,,100,0.02%,? 1.53,6435.95%
734794,28-08-2017,28-08-2017,30-34,F,16,19,17,4010.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
734796,28-08-2017,28-08-2017,30-34,F,16,22,17,39337.00,7.00,? 10.03,1,1,,100,0.02%,? 1.43,897.01%
734800,28-08-2017,28-08-2017,30-34,F,18,20,20,1635.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
734803,28-08-2017,28-08-2017,30-34,F,18,19,21,1631.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
734852,28-08-2017,28-08-2017,30-34,F,26,30,29,13479.00,3.00,? 4.25,1,0,,0,0.02%,? 1.42,-100.00%
734854,19-08-2017,19-08-2017,30-34,F,27,33,32,57022.00,13.00,? 20.29,3,3,,300,0.02%,? 1.56,1378.56%
734856,19-08-2017,19-08-2017,30-34,F,27,28,32,5453.00,1.00,? 1.39,1,1,,100,0.02%,? 1.39,7094.24%
734866,20-08-2017,20-08-2017,30-34,F,29,32,31,11803.00,3.00,? 4.44,1,0,,0,0.03%,? 1.48,-100.00%
734881,20-08-2017,20-08-2017,30-34,F,31,32,34,4259.00,1.00,? 1.57,1,1,,100,0.02%,? 1.57,6269.43%
734901,20-08-2017,20-08-2017,30-34,F,64,70,68,1554.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
734903,20-08-2017,20-08-2017,30-34,F,64,69,67,5323.00,1.00,? 1.29,1,1,,100,0.02%,? 1.29,7651.94%
734925,20-08-2017,20-08-2017,35-39,F,10,11,12,5024.00,1.00,? 1.41,1,1,,100,0.02%,? 1.41,6992.20%
734939,20-08-2017,20-08-2017,35-39,F,16,19,22,104648.00,24.00,? 33.33,4,2,,200,0.02%,? 1.39,500.06%
734968,20-08-2017,20-08-2017,35-39,F,22,25,27,8504.00,3.00,? 3.34,1,1,,100,0.04%,? 1.11,2894.01%
734999,20-08-2017,20-08-2017,35-39,F,27,32,32,20277.00,6.00,? 8.05,1,0,,0,0.03%,? 1.34,-100.00%
735014,19-08-2017,19-08-2017,35-39,F,29,34,30,12403.00,4.00,? 5.21,1,1,,100,0.03%,? 1.30,1819.39%
735032,19-08-2017,19-08-2017,35-39,F,32,33,34,498.00,0.00,? 0.00,1,1,,100,0.00%,? 0.00,0.00%
735033,18-08-2017,18-08-2017,35-39,F,36,40,40,652.00,0.00,? 0.00,0,0,,0,0.00%,? 0.00,0.00%
735043,18-08-2017,18-08-2017,35-39,F,63,65,69,1357.00,0.00,? 0.00,1,1,,100,0.00%,? 0.00,0.00%
735048,18-08-2017,18-08-2017,35-39,F,64,65,68,1393.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
735065,19-08-2017,19-08-2017,40-44,F,7,10,12,648.00,0.00,? 0.00,1,0,,0,0.00%,? 0.00,0.00%
735109,19-08-2017,19-08-2017,40-44,F,21,26,25,708.00,0.00,? 0.00,1,1,,100,0.00%,? 0.00,0.00%
